athlete_id,name,dob,height_in,reach_in,stance
2447637,Cung Le,1972-05-25,70.0,70.0,Southpaw
2447641,José Aldo,1986-09-09,67.0,70.0,Orthodox
2465553,Damacio Page,1982-09-30,66.0,66.0,Orthodox
2465555,Charlie Valencia,,63.0,64.5,Orthodox
2470332,Josh Thomson,1978-09-21,70.0,71.0,Orthodox
2470335,Nam Phan,1983-03-13,66.0,70.0,Orthodox
2470338,Gilbert Melendez,1982-04-12,69.0,73.0,Orthodox
2473720,Ben Rothwell,1981-10-17,76.0,78.5,Orthodox
2478987,Eric McConico,1990-05-09,72.0,77.0,Southpaw
2479918,Donald Cerrone,1983-03-29,73.0,73.0,Orthodox
2483868,Abner Lloveras,1982-09-04,71.0,71.0,--
2483872,Ron Stallings,1983-02-25,72.0,75.0,Southpaw
2486932,Carlo Prater,1981-06-25,71.0,72.0,Switch
2486936,Pat Healy,1983-07-20,72.0,74.0,Orthodox
2486937,Jake Shields,1979-01-09,72.0,72.0,Orthodox
2486942,Jake Ellenberger,1985-03-28,70.0,71.5,Orthodox
2486965,Anthony Njokuani,1980-03-01,72.0,75.5,Orthodox
2486967,Danny Castillo,1979-08-25,69.0,71.0,Orthodox
2486970,James Krause,1986-06-04,74.0,73.5,Orthodox
2487019,Benson Henderson,1983-11-16,69.0,70.0,Southpaw
2487259,Jay Silva,1981-05-25,74.0,75.0,Southpaw
2487588,Steve Lopez,1984-07-30,71.0,,Orthodox
2487721,Roy Nelson,1976-06-20,72.0,72.0,Orthodox
2487733,Ian Loveland,1983-09-07,68.0,,Orthodox
2487735,John Gunderson,1979-01-05,69.0,69.0,Orthodox
2487738,Fredson Paixao,,,66.0,Orthodox
2487838,Vladimir Matyushenko,1971-01-04,73.0,74.0,Orthodox
2488370,Eiji Mitsuoka,1976-01-01,67.0,,Southpaw
2488371,Tatsuya Kawajiri,1978-05-08,67.0,69.0,Orthodox
2488464,Mike Pyle,1975-09-18,73.0,74.0,Orthodox
2488472,Mike Guymon,1974-09-17,,74.0,Orthodox
2488476,Michael Johnson,1986-06-04,70.0,73.5,Southpaw
2488573,Mackens Semerzier,1980-11-03,69.0,72.0,Orthodox
2488849,Phil Baroni,1976-04-16,69.0,72.0,Orthodox
2488860,Dennis Hallman,1975-12-02,69.0,72.0,Orthodox
2492784,Hector Urbina,1987-09-17,72.0,73.5,Orthodox
2492785,Tim Kennedy,1979-09-01,71.0,74.0,Orthodox
2493017,John-Olav Einemo,1975-12-10,78.0,,Orthodox
2493018,Antonio Silva,1979-09-14,76.0,80.0,Orthodox
2494735,Jonathan Brookins,1985-08-13,72.0,74.0,Southpaw
2494741,Phil Harris,1983-04-09,65.0,64.0,Orthodox
2495165,Jacob Volkmann,1980-09-05,69.0,71.5,Southpaw
2495166,Fabricio Camoes,1978-12-23,70.0,71.5,Orthodox
2497088,Joe Brammer,1983-08-30,68.0,,Orthodox
2497723,Mike Pierce,1980-09-01,68.0,71.0,Orthodox
2497724,Ricardo Funch,1980-08-14,70.0,74.0,Southpaw
2497950,Rodrigo Damm,1980-02-03,67.0,71.0,Orthodox
2497959,Kyle Noke,1980-03-18,74.0,76.0,Southpaw
2498540,Mizuto Hirota,1981-05-05,67.0,67.5,Orthodox
2499014,Shane Roller,1979-07-14,70.0,72.0,Orthodox
2499534,Eric Wisely,1984-07-25,68.0,70.0,Southpaw
2499693,Dustin Pague,1987-08-05,69.0,74.5,Orthodox
2499694,Ronys Torres,1985-08-13,68.0,,Orthodox
2499819,Jeff Hougland,,69.0,68.0,Orthodox
2499933,Quinn Mulhern,1984-09-20,75.0,,Orthodox
2499976,Phil Davis,1984-09-25,74.0,78.0,Orthodox
2500002,Tim Williams,1986-07-03,74.0,76.0,Orthodox
2500118,Anthony Perosh,1972-05-10,75.0,75.0,Orthodox
2500138,Brian Ebersole,1980-11-27,72.0,73.0,Southpaw
2500160,Brendan Schaub,1983-03-18,76.0,78.0,Orthodox
2500402,Katsunori Kikuno,1981-10-30,68.0,66.0,Orthodox
2500422,Johnny Eduardo,1978-08-03,67.0,71.0,Orthodox
2500425,Leonardo Santos,1980-02-05,72.0,75.0,Orthodox
2500457,Joseph Benavidez,1984-07-31,64.0,65.0,Southpaw
2500458,Javier Vazquez,1977-07-16,67.0,69.0,Southpaw
2500461,Keith Wisniewski,1981-10-25,71.0,,Orthodox
2500572,Ian McCall,1984-07-05,65.0,64.0,Orthodox
2500597,Ben Askren,1984-07-18,71.0,73.0,Orthodox
2500630,Rick Story,1984-08-28,70.0,71.0,Southpaw
2500659,Rodney Wallace,1981-11-21,69.0,72.0,Switch
2500660,Jared Hamman,1982-03-07,75.0,75.0,Orthodox
2500661,Greg Soto,1986-06-03,71.0,73.0,Orthodox
2500664,Chris Clements,1976-02-09,70.0,70.0,Orthodox
2500679,Nick Osipczak,1984-12-30,73.0,76.0,Orthodox
2500684,Hyun Gyu Lim,1985-01-16,75.0,77.0,Orthodox
2500695,James Wilks,1978-04-05,73.0,75.0,Orthodox
2500721,Lucio Linhares,1973-12-08,74.0,,Orthodox
2500733,Mike Brown,,,70.0,Orthodox
2500735,Ovince Saint Preux,1983-04-08,75.0,80.0,Southpaw
2500771,Alexander Gustafsson,1987-01-15,77.0,79.0,Orthodox
2500774,Aaron Rosa,1983-05-28,76.0,78.0,Orthodox
2500857,Jorge Masvidal,1984-11-12,71.0,74.0,Orthodox
2500946,Tim Means,1984-02-20,74.0,75.0,Orthodox
2500948,Kyle Watson,1979-08-09,72.0,,--
2501130,Chase Gormley,1983-08-11,75.0,,Orthodox
2501238,Hector Lombard,1978-02-02,69.0,71.0,Southpaw
2501338,Milton Vieira,1978-10-04,72.0,72.0,Orthodox
2501361,Mark Holst,,,,Orthodox
2501489,Adriano Martins,1982-06-12,70.0,72.0,Southpaw
2501511,Brian Foster,1984-04-04,69.0,71.0,Orthodox
2501539,Kajan Johnson,1984-04-21,71.0,75.5,Orthodox
2501541,Norifumi Yamamoto,1977-03-15,64.0,66.0,Southpaw
2501639,Antonio McKee,1970-03-12,68.0,,Southpaw
2501670,Ryan Jimmo,1981-11-27,74.0,73.0,Orthodox
2501671,Jon Madsen,1980-02-12,72.0,72.0,Orthodox
2501685,Chan Sung Jung,1987-03-17,67.0,72.0,Orthodox
2501702,Matt Mitrione,1978-07-15,75.0,79.0,Switch
2501722,Mark Hominick,1982-07-22,68.0,68.0,Orthodox
2501814,Rory MacDonald,1989-07-22,72.0,76.0,Orthodox
2501820,Akbarh Arreola,1983-01-14,70.0,71.0,Southpaw
2501926,Tyron Woodley,1982-04-07,69.0,74.0,Orthodox
2501989,Nathan Coy,1978-07-24,73.0,69.5,Southpaw
2502027,Eddie Yagin,1979-03-23,67.0,,Orthodox
2502041,Reza Madadi,1980-06-20,71.0,72.5,Orthodox
2502043,Kamal Shalorus,1972-08-27,68.0,68.0,Orthodox
2502273,Todd Duffee,1985-12-06,75.0,78.0,Orthodox
2502277,Mike Russow,1976-11-09,73.0,73.0,Orthodox
2502364,King Green,1986-09-09,70.0,71.0,Orthodox
2502387,Waylon Lowe,1981-10-31,67.0,,Southpaw
2502414,Chris Camozzi,1986-11-20,75.0,78.0,Orthodox
2502444,Ross Pearson,1984-09-26,68.0,69.0,Orthodox
2502446,Michihiro Omigawa,1975-12-19,66.0,68.0,Orthodox
2502477,Jordan Mein,1989-10-10,72.0,73.0,Orthodox
2502589,DaMarques Johnson,1982-06-28,73.0,75.0,Orthodox
2502590,Igor Pokrajac,1979-01-02,72.0,76.0,Orthodox
2502604,Mario Miranda,1978-09-21,75.0,74.0,Orthodox
2502609,Peter Sobotta,1987-01-11,72.0,75.0,Southpaw
2502712,Gerald Harris,1979-11-19,71.0,77.5,Southpaw
2502713,Lorenzo Hood,1989-03-02,75.0,80.0,Southpaw
2503056,Charlie Brenneman,1981-02-09,70.0,70.0,Orthodox
2503059,Stanislav Nedkov,1981-09-12,71.0,71.0,Orthodox
2503556,Danny Downes,1986-04-08,72.0,72.0,Orthodox
2503656,Rafael Cavalcante,1981-01-11,73.0,73.0,Orthodox
2503659,Rani Yahya,1984-09-12,66.0,67.0,Orthodox
2503660,Danny Martinez,1985-06-14,65.0,67.0,Orthodox
2504046,Joey Beltran,1981-12-09,73.0,75.0,Orthodox
2504047,Julio Paulino,,,,Orthodox
2504168,Darren Elkins,1984-05-16,70.0,71.0,Orthodox
2504169,Charles Oliveira,1989-10-17,70.0,74.0,Orthodox
2504170,Christian Morecraft,1986-09-08,78.0,81.0,Orthodox
2504171,Anthony Pettis,1987-01-27,70.0,73.0,Orthodox
2504172,Chad Mendes,1985-05-01,66.0,66.0,Orthodox
2504173,Scott Jorgensen,1982-09-17,64.0,66.0,Orthodox
2504174,Brad Pickett,1978-09-24,66.0,68.0,Orthodox
2504176,Maciej Jewtuszko,1981-01-31,72.0,,Southpaw
2504178,Ricardo Lamas,1982-05-21,68.0,71.0,Orthodox
2504179,Bryan Caraway,1984-08-04,68.0,68.0,Orthodox
2504227,Andre Winner,1981-11-09,71.0,73.0,Orthodox
2504229,Nik Lentz,1984-08-13,68.0,68.0,Orthodox
2504230,John Salter,1985-03-21,73.0,74.0,Southpaw
2504231,Amilcar Alves,1979-12-13,71.0,,Southpaw
2504244,Karlos Vemola,1985-07-01,72.0,75.0,Orthodox
2504245,Daniel Roberts,1980-01-01,70.0,74.0,Southpaw
2504246,David Branch,1981-09-26,73.0,78.0,Orthodox
2504247,Ricardo Romero,1978-04-15,72.0,76.0,Orthodox
2504257,Yancy Medeiros,1987-09-07,70.0,75.5,Orthodox
2504261,Vagner Rocha,1982-06-06,71.0,73.0,Orthodox
2504262,Chris Cope,1983-03-05,72.0,72.0,Orthodox
2504550,Renan Barao,1987-01-31,66.0,70.0,Orthodox
2504552,Chris Cariaso,1981-05-27,63.0,63.5,Southpaw
2504555,Diego Nunes,1982-11-30,66.0,67.0,Orthodox
2504556,Erik Koch,1988-10-04,70.0,71.5,Southpaw
2504561,Eddie Wineland,1984-06-26,67.0,69.0,Orthodox
2504562,Will Campuzano,1986-05-27,69.0,70.0,Orthodox
2504563,Yves Jabouin,1979-05-30,66.0,68.0,Orthodox
2504566,Kyung Ho Kang,1987-09-09,69.0,73.0,Orthodox
2504567,Nick Denis,1983-10-11,66.0,,Orthodox
2504574,Maximo Blanco,1983-10-16,68.0,71.0,Orthodox
2504613,Claude Patrick,1980-06-14,71.0,75.0,Orthodox
2504616,Jesse Lennox,,,72.0,Orthodox
2504626,Rafaello Oliveira,1982-01-26,68.0,71.5,Orthodox
2504632,James Te Huna,1981-09-29,74.0,75.0,Orthodox
2504633,Rolles Gracie,1978-07-14,76.0,,Orthodox
2504639,Court McGee,1984-12-12,71.0,75.0,Orthodox
2504640,Kris McCray,1981-09-24,72.0,76.0,Orthodox
2504641,Rich Attonito,1977-06-16,70.0,72.0,Orthodox
2504642,Jamie Yager,1983-11-29,74.0,,Orthodox
2504643,Brad Tavares,1987-12-21,73.0,74.0,Orthodox
2504644,Seth Baczynski,1981-10-26,75.0,74.0,Orthodox
2504645,Josh Bryant,,72.0,,Orthodox
2504647,James Hammortree,,,,Orthodox
2504648,Travis Browne,1982-07-17,79.0,79.0,Orthodox
2504667,Rafael Natal,1982-12-25,72.0,76.0,Orthodox
2504669,Sean McCorkle,1976-09-15,79.0,81.0,Orthodox
2504806,Masanori Kanehara,1982-11-18,70.0,67.5,Orthodox
2504809,Steve Bosse,1981-07-29,71.0,72.0,Orthodox
2504814,Antonio Carvalho,1979-05-30,69.0,70.0,Orthodox
2504818,Misha Cirkunov,1987-02-27,75.0,77.0,Orthodox
2504828,Stephanie Frausto,1990-09-20,62.0,61.0,Orthodox
2504926,Soa Palelei,1977-12-07,76.0,81.0,Orthodox
2504929,Glover Teixeira,1979-10-28,74.0,76.0,Orthodox
2504931,Richie Vaculik,1983-06-19,66.0,69.5,Orthodox
2504933,Manuel Rodriguez,1985-04-25,69.0,68.0,Orthodox
2504943,Roxanne Modafferi,1982-09-24,67.0,69.0,Orthodox
2504949,Anthony Lapsley,1980-02-13,69.0,71.0,Southpaw
2504951,Stipe Miocic,1982-08-19,76.0,80.0,Orthodox
2504954,Kevin Casey,1981-06-15,71.0,77.0,Southpaw
2504955,Roger Bowling,1982-12-05,69.0,68.0,Orthodox
2504956,Bobby Voelker,1979-04-26,72.0,74.0,Orthodox
2504957,Tarec Saffiedine,1986-09-06,70.0,70.0,Switch
2504982,Roger Gracie,1981-09-26,76.0,79.0,Orthodox
2504988,Michael Chandler,1986-04-24,68.0,71.5,Orthodox
2505261,Dongi Yang,1984-12-07,71.0,71.0,Southpaw
2505262,Chad Griggs,1978-05-15,75.0,73.0,Orthodox
2505263,Todd Brown,,71.0,,Orthodox
2505274,Antonio Banuelos,1979-09-23,63.0,63.0,Orthodox
2505282,Dave Herman,1984-10-03,76.0,77.0,Orthodox
2506250,Jan Blachowicz,1983-02-24,74.0,78.0,Orthodox
2506260,Greg Rebello,1982-06-13,72.0,73.0,Southpaw
2506266,Chuck O'Neil,1985-09-22,74.0,,--
2506549,Dustin Poirier,1989-01-19,69.0,72.0,Southpaw
